Transaction ID,Product SKU,Product,Date,user_id,Quantity,Product Revenue
1716708805,PROD17377,Prep + Prime BB Beauty Balm SPF 35,20190409,2017112956,2,308.00
1716708805,PROD17377,Prep + Prime BB Beauty Balm SPF 35,20190412,2017112956,2,308.00
1716922573,PROD59418,Dazzleshadow Liquid,20190409,2015504007,2,232.00
1719475329,PROD1231,Studio Fix Fluid SPF 15,20190409,2017248644,2,384.00
1719860233,PROD26749,In Extreme Dimension 3D Black Lash Mascara,20190409,2014126159,2,250.00
1719860233,PROD302,Bronzing Powder,20190409,2014126159,2,302.00
1721178278,PROD52184,Liptensity Lip Pencil,20190409,2017336018,2,218.00
1721376771,PROD52598,Amplified Lipstick,20190409,2017357837,2,186.00
1725599276,PROD60430,Studio Fix 24-Hour Smooth Wear Concealer,20190409,2003742914,2,230.00
1728209989,PROD47483,Next To Nothing Powder / Pressed,20190409,2018962979,2,298.00
1730723848,PROD907,Eye Shadow / Pro Palette Refill Pan,20190409,2005681131,2,142.00
1732636224,PROD33813,Studio Finish Concealer Duo,20190411,2005940662,2,246.00
1735251974,PROD1231,Studio Fix Fluid SPF 15,20190409,2014055894,2,384.00
1736083755,PROD59894,Kajal Crayon,20190408,2016255194,2,228.00
1736451643,PROD1347,Technakohl Liner,20190412,2012222647,2,186.00
1738614624,PROD60284,Powder Kiss Lipstick,20190409,2010170933,2,186.00
1740468096,PROD1480,Gently Off Eye and Lip Makeup Remover,20190411,2004033781,2,234.00
1740468096,PROD24963,Extra Dimension Blush,20190411,2004033781,2,290.00
1740468096,PROD25558,Cleanse Off Oil / Travel Size,20190411,2004033781,2,100.00
1740468096,PROD30735,Mineralize Skinfinish,20190411,2004033781,2,358.00
1740468096,PROD4478,Cleanse Off Oil / Tranquil,20190411,2004033781,2,290.00
1740468096,PROD45697,Prep + Prime Essential Oils Stick,20190411,2004033781,2,298.00
1740468096,PROD56446,In Extreme Dimension Lash Mascara / Little M·A·C,20190411,2004033781,2,100.00
1740468096,PROD637,Rectangle M·A·C/Medium,20190411,2004033781,2,438.00
1740532527,PROD476,Powerpoint Eye Pencil,20190407,2006785308,2,186.00
1740532527,PROD60284,Powder Kiss Lipstick,20190407,2006785308,2,186.00
1740796073,PROD23767,Pro Longwear Eye Liner,20190409,2012706561,2,242.00
1740796073,PROD323,Eye Kohl,20190409,2012706561,2,186.00
1740796073,PROD56446,In Extreme Dimension Lash Mascara / Little M·A·C,20190409,2012706561,2,100.00
1741852646,PROD59418,Dazzleshadow Liquid,20190409,2009969718,2,232.00
1742362661,PROD60284,Powder Kiss Lipstick,20190409,2018349363,2,186.00
1743447097,PROD57613,Prep + Prime Fix+ (Shimmer),20190409,2015275309,2,212.00
1743752113,PROD15746,Prep + Prime Highlighter,20190409,2018960992,2,296.00
1744016354,PROD35752,Dazzleshadow,20190409,2017215904,2,232.00
1744608252,PROD60430,Studio Fix 24-Hour Smooth Wear Concealer,20190409,2015124985,2,230.00
1745553893,PROD51409,Gently Off Wipes + Micellar Water,20190409,2018962750,2,312.00
1745909857,PROD301,Blot Powder/Pressed,20190409,2012384558,2,300.00
1746314246,PROD31094,Mineralize Blush,20190410,2005550470,2,294.00
1746599479,PROD1231,Studio Fix Fluid SPF 15,20190409,2014442478,2,384.00
1749306601,PROD57804,Bronzing Powder / Mirage Noir,20190409,2014724842,2,306.00
1752714307,PROD15746,Prep + Prime Highlighter,20190407,2016854154,2,296.00
1752714307,PROD26749,In Extreme Dimension 3D Black Lash Mascara,20190407,2016854154,2,250.00
1752714307,PROD60430,Studio Fix 24-Hour Smooth Wear Concealer,20190407,2016854154,2,230.00
1752787744,PROD340,Lip Pencil,20190409,2014208739,2,182.00
1753035837,PROD64323,"Lipstick / Boom, Boom, Bloom",20190409,2004777544,2,198.00
1754464155,PROD1573,Prolong Paint Pot,20190410,2015362578,2,224.00
1754464155,PROD45904,Lip Scrubtious,20190410,2015362578,2,180.00
